id,pair_symbol,token0_symbol,token1_symbol,token0_id,token1_id,token0_pyth_price,token1_pyth_price,trade_path,gas_cost,uniswap_fee,trade_cost,liquidity_rate_token0,variable_borrow_rate_token0,profitable_token0,liquidity_rate_token1,variable_borrow_rate_token1,profitable_token1
0x04708077eca6bb527a5bbbd6358ffb043a9c1c14,WETH/METH,WETH,METH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,3385.132314360000236774794757366180419921875,1.0526028099999999998459543348872102797031402587890625,METH -> WETH,0,0.000500,0.005789315454999999999152748841,,,,0,0,True
0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC/USDT,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0.99997984000000006421515763577190227806568145751953125,0.998915989999999975879063640604726970195770263671875,USDC -> USDT,0,0.000100,0.005099897184000000327497303943,0,0,True,,,
0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC/USDT,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0.99997984000000006421515763577190227806568145751953125,0.998915989999999975879063640604726970195770263671875,USDT -> USDC,0,0.000100,0.005094471548999999876983224567,,,,0,0,True
0xf4c5e0f4590b6679b3030d29a84857f226087fef,MNT/WETH,MNT,WETH,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.186954800000000087578655438846908509731292724609375,3385.132314360000236774794757366180419921875,MNT -> WETH,0,0.003000,0.009495638400000000700629243511,0,0,True,,,
0xf4c5e0f4590b6679b3030d29a84857f226087fef,MNT/WETH,MNT,WETH,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.186954800000000087578655438846908509731292724609375,3385.132314360000236774794757366180419921875,WETH -> MNT,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x202a6012894ae5c288ea824cbc8a9bfb26a49b93,WETH/WEETH,WETH,WEETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,3385.132314360000236774794757366180419921875,3571.2232282400000258348882198333740234375,WETH -> WEETH,0,0.000100,17.26417480323600120755145327,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True,,,
0x202a6012894ae5c288ea824cbc8a9bfb26a49b93,WETH/WEETH,WETH,WEETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,3385.132314360000236774794757366180419921875,3571.2232282400000258348882198333740234375,WEETH -> WETH,0,0.000100,18.21323846402400013175792992,,,,0.0015549711114877999389161100651790547999553382396697998046875,0.023779067276514999351721968423589714802801609039306640625,True
0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,WETH/SOL,WETH,SOL,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd31a59c85ae9d8edefec411d448f90841571b89c,3385.132314360000236774794757366180419921875,190.202873330000016949270502664148807525634765625,WETH -> SOL,0,0.003000,27.08105851488000189419835806,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True,,,
0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,WETH/SOL,WETH,SOL,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd31a59c85ae9d8edefec411d448f90841571b89c,3385.132314360000236774794757366180419921875,190.202873330000016949270502664148807525634765625,SOL -> WETH,0,0.003000,1.521622986640000135594164021,,,,0,0,True
0x5764a6f2212d502bc5970f9f129ffcd61e5d7563,SHIB/WETH,SHIB,WETH,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.00002186530000000000222536156169184096142998896539211273193359375,3385.132314360000236774794757366180419921875,SHIB -> WETH,0,0.010000,3.279795000000000333804234254E-7,0,0,True,,,
